省份,上市公司数量,市值（亿元）
贵州,35,25394.18
新疆,60,9292.95
山西,38,9054.37
吉林,47,4182.14
云南,40,9037
西藏,22,2534.23
甘肃,35,3332.89
四川,162,31579.03
宁夏,14,1809.33
重庆,67,9537.35
黑龙江,39,3492.06
广西,39,2984.84
河南,98,14349.71
江西,79,9034.02
辽宁,82,9425.31
内蒙古,24,7202.77
北京,448,181365.27
陕西,74,14803.96
江苏,626,70054.07
海南,28,3616.76
山东,279,35115.02
河北,70,11623.18
上海,417,76131.89
浙江,653,77310.8
福建,169,34155.61
天津,70,13943.68
安徽,160,19355.94
湖北,133,15269.82
湖南,136,17745.25
青海,11,2257.91
广东,820,140361.92
综合,4975,865353.26
